path,hash,access
/home/aperry/Documents/SY402/beaglEd/.git/logs,a5b2a67abe77685e72bd31a2e851eab86d5670e0ab893971ee138f2247190495,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/hooks,f4ca1e7cef47e0f8de8203c682ae9550740d192a8870970532458908c8b9f5b2,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects,f93da28afb863cdae6f5b6a35aee9f233853f55e9db617821ade9cc8ea0cb08b,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/info,04ff5ae6ee0c1c315360eca8872ada34fa43b7cc4a1977ec68826ca4eb677a94,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/refs,dfdbccf981ca94e11396c89e82acdf330d63fe46410e7dd4a4a45a26d2b222f8,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/logs/refs,ce7aded69acc371116e8d9cccd9aa59c55147c9d0326149ec45a5dab59162ee7,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/logs/refs/heads,8606767faf54ebca1da748870f862ab428a8173339c27fdc90abb091d64f1e22,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/logs/refs/remotes,d0a3ed596c07949289b369dae0686db3be1f33f391a3ae24836db5c55f8a06c5,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/logs/refs/remotes/origin,ce649f93b2a39b21554e6af33a07db32494f93b3e3f93cfd6928b9f7177ef65c,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/e6,f84d5ac73175f221156213fa3951c2e7e438374226c57dd83b488121575091f3,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/c5,b8e612d58156d4479c56d6f10eeaa6ed0f5e0c3d21b9a18b788c1c9638eea66d,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/8c,5e53136c9ac24d8c56d669880e3d5be544286d85f2aedc2c3eba4399f168c8e8,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/65,e52d1c2d37f3f2f02eb7cbf4f4d7a2c6bb585a3ac4b38aebae098675412e4579,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/fe,964d920662b37fe94f5aa5a8781adef141bc1d1944adb04fd7737057dcfc88f6,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/49,5a01118a7966c6aa3568939d8b350f66b0566de2fd8150c50996f587710902fe,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/3e,9caef524ddfa6e7614705b113a2516b4e7548e0299d6dad88a4975e85bdfeae2,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/ae,c58a0888ac88a9a16661027a248cea567888c517c653fbbf091c748c42ad8d87,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/bb,be5762645ef138a20bc18949909ebaaa3b8cc611b1e924c4b187c512a6429439,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/55,adb547efc70f61494a9520752d30c3c4e20aca69d78c024c38996d4c1a22b3ef,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/e5,50d5cce22c0801ba32c4a1b54d3d1831567261c974d7dfe2c7c78187ea3c4b78,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/7e,eda2d024da3772473c8ba6518c9a153066bc52bc94b8b1c964d9e1e61dc6bfec,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/f3,5e2c31d9c34cd9bce992041e4ebd2a9ccd05b49d79d4fa6effc02dc747b05f76,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/96,9d8550afc4a77e6df1acccfa661336d7f7d1d5455bfc43564085fb188563fd8f,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/8b,be60d74c2f37a492ed1f1149181ec059164fdb165ac88793a5a571ef88cc4b06,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/21,3914d41f07094448f2e1af67b42c0de2543e66c4a91eebe13928c5b6aea91f57,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/3f,ded242a1ca3791a86e2f1f4347ee0307614c29cfaa2b81af1c13e33fbf0e0ecd,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/e2,f5336e0fb8c2d8614476206ebd8a61f2efcdcfd26c677e53e01ad3f85b95633a,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/2e,c1f1e117b7ce09932eedb2ce42057ced5d4ade0969f1ba6a7816f3d306ae695f,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/51,dc4f3feeaf65522a1ad5be2a494b4d2e4b0d01ce9ee60afbb2aac85073c8814e,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/7d,e22df0a532dcace06f0fdce70f6d04a76d964179c25fb97c96a181e022a81210,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/94,01b1cd07e0f21a0983f776d90713f699f5905b93fc6cb101c7f6055e051e3184,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/9b,92a65cd8c04ae11b3b6ae82c1190976df8fabc63f2cb1a42466d3bfc9af8562d,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/b5,a028ff913536dc23c72eeb287e2f4179dacc0a13340b164a373257b75bef04df,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/d1,34ce13a87b35bb0bec00a6beb6aeab47cc758a8f7b7e8e1adccdb44783e86563,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/d3,bed032740f22fb3a43292b6d91da8eedbf7f00f1c68f6741d96d336cb8a2d351,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/b8,14995352cb4d7000bc8e1d5e69a42dc156e84d3c92a69b439d018ea4b7b8b344,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/ff,61b9756dcd722f31057db34e397aa9fa39fd15986ba03c96e46e4290a751bf1c,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/34,3f31ef4e832105e252f0069880823f5641df7ab07f213545585c91e78b0b48f2,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/6c,88af5d8dbea51d6f81cad725ad4a7dfe9c27baf8d525c3d20f3d73b0622d97d0,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/76,53c9180eef52cd1009352ba522140e24150fce65f146782f8e0b19058557cbbe,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/d6,cff744f2a5d48b4dd3b75275d8aba16251a03deb407d74ffe0709bb304d38378,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/e0,6444ce646b269930f1a549ac9b7b08f63a711293f999219954d9a926bfa13368,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/f2,fd20219024931966f1b4c8e0da637827250174ec5b558178cdadb7374b0b34fe,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/59,1190e7efe1a43c6ed5dd78fce64f52129516b2a28406713d387612e4259f1638,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/9f,1d46ba0d8c37e64ebd9685fd7c96cde59ed4a8a9f7c4d1135c92a885b0fd09b2,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/7c,44375759d0bdd1ac3051536ae5dd30943c243624fe7167404ae3acb2a2762964,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/2d,b456fe0432b37d17ae01496abf422901baa4612add2727366673d368bccf239d,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/3b,8b0abb852f2ee228d374aa383d4d97d7063dcb091060678897e4dea14945b1ae,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/bc,bb4b0e737db398c3e0064d5410135966364026e1924941b164b12a867249b5f3,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/13,6e4feff1913e57cc8dfef61c919849feab180b72b79bb27d60f51685a45be2f2,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/c3,4bb8fcf2136ef6a95b162e6cd8b4daef8cd8f2ecd0158e7fc79fb1dceb8ffc76,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/ad,9fc91709e5b1565942d4021271137e607ca07de9b63f21d37487ff3191f57167,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/9d,e467970e604b09fcd13a4cef9cb2e9ea1a07320ae3c11ebea2db8a38966b49ec,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/e8,7e829ec94c4e271d2a749a58c1005718007f36bedf3a2138cca5ec79a3b1b3b7,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/9e,4f7f0be4ae8240747bcc860d93b25e859c0c7022171489bc92673fb2db8e5b94,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/24,5edd6e0f9ea75128fd1f1b2eb41cdb87a4d5f08dc1f86e528fff41f8e5d68d86,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/47,afd29ed52d9e8e17eab944e18c04bcc5f428070356ce485cb4cfac410074f7f2,03302021_210842
/home/aperry/Documents/SY402/beaglEd/.git/objects/ee,f180cb423cf0a0ae1388408960e0c56f3e3091b9d04509b0489b09156a060fbc,03302021_210842
